poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,dem,rep,ind
89350,1205,Marist,"373,2166",NPR | PBS News,Marist College,183,Marist College,2.9,-0.9,Live Phone/Online Panel/Text-to-Web,9.0,,10/31/24,11/2/24,,"",,216297,1297,lv,,lv,,11/4/24 12:25,"",https://maristpoll.marist.edu/polls/u-s-presidential-contest-november-2024/,https://maristpoll.marist.edu/polls/u-s-presidential-contest-november-2024/,,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fmaristpoll.marist.edu%2Fwp-content%2Fuploads%2F2024%2F11%2FNPR_PBS-News_Marist-Poll_USA-NOS-and-TABLES_202411031509.xlsx&wdOrigin=BROWSELINK,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,50.0,48.0,
89251,1102,Emerson,"","",Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7.0,,10/30/24,11/2/24,,"",,215928,1000,lv,,lv,,11/3/24 09:32,"",https://emersoncollegepolling.com/november-2024-national-poll-trump-and-harris-remain-locked-in-tight-race/,https://emersoncollegepolling.com/november-2024-national-poll-trump-and-harris-remain-locked-in-tight-race/,,https://docs.google.com/spreadsheets/d/1zSMg6ly1Mnj1m9QKd7tmckRkEEPSCjb8/edit?gid=581474264#gid=581474264,"",,,9549,2024,U.S. House,,Generic,11/5/24,general,false,48.2,47.1,
89252,1292,Hart/POS,132,NBC News,Hart Research Associates/Public Opinion Strategies,221,Hart Research Associates/Public Opinion Strategies,2.6,-0.7,Live Phone,4.0,,10/30/24,11/2/24,,"",,215929,1000,rv,,rv,,11/3/24 09:32,"",https://www.nbcnews.com/politics/2024-election/final-nbc-news-poll-harris-trump-race-neck-neck-significant-gender-gap-rcna178361,https://www.nbcnews.com/politics/2024-election/final-nbc-news-poll-harris-trump-race-neck-neck-significant-gender-gap-rcna178361,https://s3.documentcloud.org/documents/25265231/nbc-november-2024-poll.pdf,,"",,,9549,2024,U.S. House,,Generic,11/5/24,general,false,47.0,46.0,
89366,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Panel,6.0,,10/30/24,11/2/24,,"",,216414,4520,rv,,rv,,11/4/24 16:23,"",https://www.forbes.com/sites/saradorn/2024/11/04/new-forbesharrisx-survey-harris-and-trump-in-near-dead-heat-1-day-before-election/,https://www.forbes.com/sites/saradorn/2024/11/04/new-forbesharrisx-survey-harris-and-trump-in-near-dead-heat-1-day-before-election/,https://elections.harrisx.com/public/HX_Forbes_Poll_Nov_2_24_3Day.html,,"",,,9549,2024,U.S. House,,Generic,11/5/24,general,false,43.0,42.0,
89366,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Panel,6.0,,10/30/24,11/2/24,,"",,216415,3759,lv,,lv,,11/4/24 16:23,"",https://www.forbes.com/sites/saradorn/2024/11/04/new-forbesharrisx-survey-harris-and-trump-in-near-dead-heat-1-day-before-election/,https://www.forbes.com/sites/saradorn/2024/11/04/new-forbesharrisx-survey-harris-and-trump-in-near-dead-heat-1-day-before-election/,https://elections.harrisx.com/public/HX_Forbes_Poll_Nov_2_24_3Day.html,,"",,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,46.0,
89238,1714,Kaplan Strategies,"","",Kaplan Strategies,124,Kaplan Strategies,2.0,-0.9,,4.5,,10/31/24,10/31/24,,"",,215762,671,rv,,rv,,11/2/24 16:45,"",https://www.scribd.com/document/787176657/Final-Kaplan-Strategies-2024-Presidential-Poll#from_embed,,https://www.scribd.com/document/787176657/Final-Kaplan-Strategies-2024-Presidential-Poll#from_embed,,"",,,9549,2024,U.S. House,,Generic,11/5/24,general,false,44.0,45.0,
89288,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Panel,9.0,,10/29/24,10/31/24,,"",,216040,1267,rv,,rv,,11/3/24 12:34,"",https://www.yahoo.com/news/final-yahoo-newsyougov-election-poll-trump-pulls-even-with-harris-at-47--but-will-enthusiasm-favor-democrats-144135193.html,https://www.yahoo.com/news/final-yahoo-newsyougov-election-poll-trump-pulls-even-with-harris-at-47--but-will-enthusiasm-favor-democrats-144135193.html,,https://www.scribd.com/document/787484182/full-yahoo-20241101,"",,,9549,2024,U.S. House,,Generic,11/5/24,general,false,47.0,44.0,
89288,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Panel,9.0,,10/29/24,10/31/24,,"",,216041,1152,lv,,lv,,11/3/24 12:34,"",https://www.yahoo.com/news/final-yahoo-newsyougov-election-poll-trump-pulls-even-with-harris-at-47--but-will-enthusiasm-favor-democrats-144135193.html,https://www.yahoo.com/news/final-yahoo-newsyougov-election-poll-trump-pulls-even-with-harris-at-47--but-will-enthusiasm-favor-democrats-144135193.html,,https://www.scribd.com/document/787484182/full-yahoo-20241101,"",,,9549,2024,U.S. House,,Generic,11/5/24,general,false,48.0,45.0,
89195,1302,Echelon Insights,"","",Echelon Insights,407,Echelon Insights,2.7,-0.8,Online Panel,9.0,,10/28/24,10/31/24,,"",,215521,1328,lv,,lv,,11/1/24 15:47,"",https://echeloninsights.com/in-the-news/oct-2024-verified-voter-omnibus/,https://echeloninsights.com/in-the-news/oct-2024-verified-voter-omnibus/,https://echelonin.wpenginepowered.com/wp-content/uploads/October-2024-Voter-Omnibus-Topline-EXTERNAL.pdf,https://echelonin.wpenginepowered.com/wp-content/uploads/October-2024-Voter-Omnibus-Crosstabs-EXTERNAL.pdf,"",,,9549,2024,U.S. House,,Generic,11/5/24,general,false,47.0,48.0,
89128,1810,American Pulse,"","",American Pulse Research & Polling,836,American Pulse Research & Polling,,,IVR/Live Phone/Online Panel,6.0,,10/28/24,10/30/24,,"",,215069,822,lv,,lv,,10/31/24 12:04,"",https://www.americanpulse.us/thankyou-pollresults-publicopinion-post-landscape-shaping-events-2,https://www.americanpulse.us/thankyou-pollresults-publicopinion-post-landscape-shaping-events-2,https://s3.amazonaws.com/kajabi-storefronts-production/file-uploads/sites/24373/themes/2158162839/downloads/2012817-41-6b-dc73-27c2a12ebe_241030_American_Pulse_-_Final_2024_National_Survey_-_Topline_Results.pdf,,"",,,9549,2024,U.S. House,,Generic,11/5/24,general,false,47.2,45.2,
